node_id,x,y
154787105,-82.410712,38.4191259
154787115,-82.3896249,38.4220769
154787119,-82.38947,38.4220669
154787121,-82.3887531,38.4219525
154787123,-82.3865537,38.4216314
154787126,-82.4099106,38.4196116
154787130,-82.4107224,38.4188995
154787132,-82.4097461,38.4189626
154787153,-82.3832551,38.4280069
154787155,-82.3834071,38.4292437
154787176,-82.4363261,38.4046803
154787262,-82.4102075,38.3993563
154787403,-82.4043022,38.4066247
154787703,-82.383587,38.4026853
154787736,-82.3827677,38.4030583
154787901,-82.3838364,38.4012123
154788446,-82.4223834,38.3988833
154788447,-82.4224833,38.3988112
154788801,-82.4136038,38.4259337
154788823,-82.4097243,38.4008048
154788933,-82.4641999,38.4077173
154788942,-82.4635456,38.4062605
154788950,-82.4679644,38.4176458
154788953,-82.4675917,38.4172596
154788955,-82.467243,38.4162179
154788957,-82.4668929,38.4151735
154788963,-82.4664024,38.4137024
154788965,-82.4659666,38.4126857
154788967,-82.46553,38.4116722
154788969,-82.4650875,38.4106733
154788982,-82.4770264,38.4055631
154788986,-82.4767766,38.4051361
154789468,-82.4167339,38.4280403
154789470,-82.4099091,38.4292249
154789472,-82.4064987,38.4298146
154789474,-82.401064,38.4307648
154789476,-82.3996877,38.4310124
154789505,-82.3754065,38.412372
154789506,-82.3754427,38.4136099
154789509,-82.3754545,38.4142389
154789792,-82.4097602,38.4166509
154789802,-82.4102457,38.4164607
154789805,-82.4056229,38.4177458
154789816,-82.4043857,38.4172141
154789847,-82.3976775,38.4148441
154789852,-82.3992929,38.4145829
154789921,-82.365023,38.417482
154789923,-82.3648956,38.4166309
154789925,-82.3647615,38.4157315
154789927,-82.3644773,38.4137738
154789951,-82.4525237,38.4132657
154789953,-82.4517716,38.4105819
154789956,-82.4513921,38.4092426
154789958,-82.4507069,38.4068294
154789964,-82.4542316,38.4189874
154789966,-82.4534736,38.4162502
154789968,-82.4532858,38.4155786
154789972,-82.4540394,38.4190203
154789973,-82.4532753,38.4162832
154789975,-82.4530799,38.4156222
154790001,-82.4242511,38.4088257
154790003,-82.4230278,38.4086722
154790005,-82.420804,38.4084942
154790010,-82.4190306,38.4083362
154790012,-82.4185056,38.408291
154790464,-82.4901098,38.4081339
154790466,-82.4898288,38.4074755
154790468,-82.4893978,38.4064553
154790470,-82.4891368,38.4059627
154790482,-82.4905512,38.4101962
154790483,-82.4901102,38.409171
154790487,-82.4884052,38.405594
154790577,-82.4203972,38.4153441
154790579,-82.4186954,38.4156423
154790581,-82.4169851,38.4159421
154790589,-82.4628756,38.413507
154790590,-82.4645057,38.4130741
154790591,-82.4676376,38.4122443
154790594,-82.4700664,38.4115961
154790597,-82.4721211,38.4110517
154790599,-82.4742349,38.4104893
154790601,-82.4756401,38.4101135
154790603,-82.4771632,38.4097096
154790605,-82.4786774,38.4092978
154790607,-82.4801843,38.4089108
154790612,-82.4817886,38.4084808
154790618,-82.4848345,38.407675
154790620,-82.486352,38.4072695
154790621,-82.4878742,38.4068644
154790622,-82.4909125,38.4060494
154790625,-82.4938481,38.4050542
154791033,-82.4533662,38.406609
154791052,-82.4565956,38.4062381
154791064,-82.4582733,38.4061897
